raw_column,raw_position,in_flattened,decision,reason,duplicate_of,null_count,inf_count,unique_finite,zero_frac,min,max,mean
Fwd Header Length,34,YES,KEEP,carried through unchanged,,0,0,3771,0.000621,-32212234632.0,4644908.0,-25997.392
Bwd Header Length,35,YES,KEEP,carried through unchanged,,0,0,3945,0.160259,-1073741320.0,5838440.0,-2273.2753
Fwd Packets/s,36,YES,KEEP,carried through unchanged,,0,0,1220423,0.001053,0.0,3000000.0,63865.3464
Bwd Packets/s,37,YES,KEEP,carried through unchanged,,0,0,1107886,0.160601,0.0,2000000.0,6995.1917
Min Packet Length,38,YES,KEEP,carried through unchanged,,0,0,215,0.47479,0.0,1448.0,16.4345
Max Packet Length,39,YES,KEEP,carried through unchanged,,0,0,5708,0.126159,0.0,24820.0,950.4024
Packet Length Mean,40,YES,KEEP,carried through unchanged,,0,0,215826,0.126159,0.0,3337.1429,171.9444
Packet Length Std,41,YES,KEEP,carried through unchanged,,0,0,412246,0.2519,0.0,4731.5224,294.9756
Packet Length Variance,42,YES,KEEP,carried through unchanged,,0,0,405565,0.2519,0.0,22400000.0,486154.7941
FIN Flag Count,43,YES,KEEP,carried through unchanged,,0,0,2,0.96462,0.0,1.0,0.0354
SYN Flag Count,44,,DROP duplicate column,byte-identical to `Fwd PSH Flags`,Fwd PSH Flags,0,0,2,0.953554,0.0,1.0,0.0464
RST Flag Count,45,YES,KEEP,carried through unchanged,,0,0,2,0.999758,0.0,1.0,0.0002
PSH Flag Count,46,YES,KEEP,carried through unchanged,,0,0,2,0.701929,0.0,1.0,0.2981
ACK Flag Count,47,YES,KEEP,carried through unchanged,,0,0,2,0.684156,0.0,1.0,0.3158
URG Flag Count,48,YES,KEEP,carried through unchanged,,0,0,2,0.905177,0.0,1.0,0.0948
CWE Flag Count,49,,DROP duplicate column,byte-identical to `Fwd URG Flags`,Fwd URG Flags,0,0,2,0.999889,0.0,1.0,0.0001
ECE Flag Count,50,YES,KEEP,carried through unchanged,,0,0,2,0.999757,0.0,1.0,0.0002
Down/Up Ratio,51,YES,KEEP,carried through unchanged,,0,0,31,0.370285,0.0,156.0,0.6835
Average Packet Size,52,YES,KEEP,carried through unchanged,,0,0,212207,0.126159,0.0,3893.3333,191.9837
Avg Fwd Segment Size,53,YES,KEEP,carried through unchanged,,0,0,99716,0.158676,0.0,5940.8571,58.2019
Avg Bwd Segment Size,54,YES,KEEP,carried through unchanged,,0,0,147611,0.250021,0.0,5800.5,305.9493
Fwd Header Length.1,55,,DROP duplicate column,byte-identical to `Fwd Header Length`,Fwd Header Length,0,0,3771,0.000621,-32212234632.0,4644908.0,-25997.392
Fwd Avg Bytes/Bulk,56,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,57,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,58,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,59,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,60,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,61,,DROP duplicate column,byte-identical to `Bwd PSH Flags`,Bwd PSH Flags,0,0,1,1.0,0.0,0.0,0.0
Subflow Fwd Packets,62,,DROP duplicate column,byte-identical to `Total Fwd Packets`,Total Fwd Packets,0,0,1432,0.0,1.0,219759.0,9.3612
Subflow Fwd Bytes,63,YES,KEEP,carried through unchanged,,0,0,17928,0.158676,0.0,12870338.0,549.2919
Subflow Bwd Packets,64,,DROP duplicate column,byte-identical to `Total Backward Packets`,Total Backward Packets,0,0,1747,0.160212,0.0,291922.0,10.3938
Subflow Bwd Bytes,65,YES,KEEP,carried through unchanged,,0,0,64738,0.250021,0.0,655453030.0,16162.3025
Init_Win_bytes_forward,66,YES,KEEP,carried through unchanged,,0,0,12151,0.035246,-1.0,65535.0,6989.8374
Init_Win_bytes_backward,67,YES,KEEP,carried through unchanged,,0,0,13112,0.09605,-1.0,65535.0,1989.433
act_data_pkt_fwd,68,YES,KEEP,carried through unchanged,,0,0,1093,0.340167,0.0,213557.0,5.4182
min_seg_size_forward,69,YES,KEEP,carried through unchanged,,0,0,28,0.000645,-536870661.0,138.0,-2741.6879
Active Mean,70,YES,KEEP,carried through unchanged,,0,0,326325,0.802586,0.0,110000000.0,81551.321
Active Std,71,YES,KEEP,carried through unchanged,,0,0,202826,0.927392,0.0,74200000.0,41134.1168
Active Max,72,YES,KEEP,carried through unchanged,,0,0,299565,0.802586,0.0,110000000.0,153182.5213
Active Min,73,YES,KEEP,carried through unchanged,,0,0,175670,0.802586,0.0,110000000.0,58295.8177
Idle Mean,74,YES,KEEP,carried through unchanged,,0,0,222016,0.799599,0.0,120000000.0,8316036.6272
Idle Std,75,YES,KEEP,carried through unchanged,,0,0,197616,0.919017,0.0,76900000.0,503843.9498
Idle Max,76,YES,KEEP,carried through unchanged,,0,0,149737,0.799599,0.0,120000000.0,8695751.9846
Idle Min,77,YES,KEEP,carried through unchanged,,0,0,223888,0.799599,0.0,120000000.0,7920031.0146
